elo_rank,country_code,elo_rating,peak_elo,peak_rank,average_elo,lowest_elo,collected_at
212,TV,756,819,204,745,719,2026-07-11T13:27:38.901177+00:00
213,VG,743,932,207,788,590,2026-07-11T13:27:38.901177+00:00
214,EU,737,757,213,753,711,2026-07-11T13:27:38.901177+00:00
215,LA,734,1016,186,895,646,2026-07-11T13:27:38.901177+00:00
215,TL,734,742,226,630,531,2026-07-11T13:27:38.901177+00:00
217,WS,728,744,211,659,601,2026-07-11T13:27:38.901177+00:00
218,MN,726,897,190,842,650,2026-07-11T13:27:38.901177+00:00
219,BL,725,730,217,706,694,2026-07-11T13:27:38.901177+00:00
220,GU,706,895,207,694,531,2026-07-11T13:27:38.901177+00:00
221,WF,699,734,201,699,674,2026-07-11T13:27:38.901177+00:00
222,VA,692,705,218,697,686,2026-07-11T13:27:38.901177+00:00
223,AB,691,701,223,675,671,2026-07-11T13:27:38.901177+00:00
224,BS,685,940,190,871,685,2026-07-11T13:27:38.901177+00:00
225,PM,677,698,223,678,677,2026-07-11T13:27:38.901177+00:00
226,TC,657,830,211,765,631,2026-07-11T13:27:38.901177+00:00
227,AI,647,673,224,557,497,2026-07-11T13:27:38.901177+00:00
228,TE,629,691,208,665,629,2026-07-11T13:27:38.901177+00:00
229,VI,628,748,219,685,587,2026-07-11T13:27:38.901177+00:00
230,BT,623,694,219,600,527,2026-07-11T13:27:38.901177+00:00
231,CK,622,738,206,681,622,2026-07-11T13:27:38.901177+00:00
232,MO,589,1098,175,944,589,2026-07-11T13:27:38.901177+00:00
233,CX,578,614,228,577,513,2026-07-11T13:27:38.901177+00:00
234,BN,572,952,201,778,572,2026-07-11T13:27:38.901177+00:00
235,FK,571,593,229,585,571,2026-07-11T13:27:38.901177+00:00
236,FM,564,618,231,572,564,2026-07-11T13:27:38.901177+00:00
237,MH,559,571,237,559,559,2026-07-11T13:27:38.901177+00:00
238,KI,544,599,219,578,544,2026-07-11T13:27:38.901177+00:00
239,TO,520,727,213,651,480,2026-07-11T13:27:38.901177+00:00
240,NU,496,500,225,496,496,2026-07-11T13:27:38.901177+00:00
241,MP,432,682,233,512,396,2026-07-11T13:27:38.901177+00:00
242,CC,422,487,235,423,386,2026-07-11T13:27:38.901177+00:00
243,PW,402,442,237,402,402,2026-07-11T13:27:38.901177+00:00
244,AS,369,628,226,467,334,2026-07-11T13:27:38.901177+00:00
